Time,Pitch,Roll,Yaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed,cP,cR,cY,cPower,PosXError,PosYError
91175301.0000000000,-1.7500000000,0.3745000000,0.0625000000,0.2500000000,-0.2500000000,0.4375000000,0.0200000000,-0.0600000000,-0.1500000000,47.2228969000,8.8183875000,0.5300000000,0.0000000000,0.0000000000,0.0000000000,2.7000000000,-0.1245000000,-0.5000000000,-4.2000000000,-0.3713910548,0.1145307744
91494075.0000000000,-1.8125000000,0.3745000000,0.0625000000,0.1250000000,-0.1250000000,-0.6875000000,-0.2000000000,-0.0900000000,-0.3000000000,47.2228969000,8.8183875000,0.5200000000,0.0000000000,0.0000000000,0.0000000000,3.1824474767,0.0940923232,0.6250000000,-3.6000000000,-0.3713910548,0.1145307744
91504921.0000000000,-1.8125000000,0.3745000000,0.0625000000,-0.1250000000,-0.0000000000,-0.1875000000,-0.0700000000,-0.2300000000,-0.1600000000,47.2228969000,8.8183875000,0.5100000000,-0.0007784717,-0.0021024103,-0.0911075887,2.9324474767,-0.0309076768,0.1250000000,-2.0889241130,-0.3713910548,0.1145307744
91512925.0000000000,-1.8125000000,0.3745000000,0.0625000000,-0.1250000000,-0.0000000000,-0.1875000000,-0.2000000000,-0.3300000000,-0.2200000000,47.2228969000,8.8183875000,0.4900000000,-0.0023752888,-0.0044252936,-0.3314980255,2.9335373370,-0.0330100872,0.1250000000,1.5149802546,-0.3713910548,0.1145307744
91526544.0000000000,-1.8125000000,0.3745000000,0.0625000000,-0.3125000000,0.1250000000,0.5625000000,-0.4900000000,-0.0700000000,-0.2500000000,47.2228969000,8.8183875000,0.5100000000,-0.0089918199,-0.0048637253,-0.1512261321,2.7482728810,-0.1603329704,-0.6250000000,-1.4877386790,-0.3713910548,0.1145307744
91538038.0000000000,-1.8750000000,0.3120000000,0.0625000000,-0.3125000000,-0.0000000000,-0.2500000000,-0.3100000000,-0.0800000000,-0.2700000000,47.2228969000,8.8183875000,0.5100000000,-0.0124578579,-0.0053362490,-0.1360838641,2.8450360245,0.0267285979,0.1875000000,-1.6391613585,-0.3713910548,0.1145307744
91546073.0000000000,-1.8750000000,0.3120000000,0.0625000000,-0.0625000000,-0.1250000000,-0.6875000000,-0.3500000000,-0.0300000000,-0.1900000000,47.2228969000,8.8183875000,0.5100000000,-0.0151372935,-0.0052494769,-0.1218832179,3.0998884778,0.1512560742,0.6250000000,-1.7811678212,-0.3713910548,0.1145307744
91554076.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.0000000000,-0.1250000000,-0.4375000000,-0.8200000000,0.1500000000,-0.3000000000,47.2228969000,8.8183875000,0.5100000000,-0.0215025634,-0.0037375711,-0.1098972920,3.1661396875,0.1513428462,0.3750000000,-1.9010270804,-0.3713910548,0.1145307744
91566717.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.4375000000,-0.1250000000,0.2500000000,-0.7000000000,-0.1900000000,-0.2500000000,47.2228969000,8.8183875000,0.5300000000,-0.0300790372,-0.0056499685,0.0595569224,3.6125510654,0.1528547521,-0.3125000000,-4.7955692241,-0.3713910548,0.1145307744
91577367.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.0625000000,-0.1250000000,0.3750000000,-0.1900000000,0.3500000000,-0.3300000000,47.2228969000,8.8183875000,0.5300000000,-0.0318078706,-0.0015426561,0.0530443417,3.2495581287,0.1509423547,-0.4375000000,-4.7304434167,-0.3713910548,0.1145307744
91585372.0000000000,-1.8750000000,0.3120000000,0.0625000000,-0.1875000000,-0.0000000000,0.0000000000,0.5100000000,0.0200000000,-0.2200000000,47.2228969000,8.8183875000,0.5200000000,-0.0274678797,-0.0010976973,-0.0768081027,3.0019784955,0.0300496671,-0.0625000000,-2.8319189725,-0.3713910548,0.1145307744
91595252.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.0000000000,0.2500000000,-0.3750000000,-0.2200000000,0.1900000000,-0.3100000000,47.2228969000,8.8183875000,0.5200000000,-0.0293695179,0.0011062247,-0.0694660777,3.1834025083,-0.2195053741,0.3125000000,-2.9053392233,-0.3713910548,0.1145307744
91603257.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.0000000000,0.2500000000,-0.3750000000,-0.4400000000,-0.0200000000,-0.3300000000,47.2228969000,8.8183875000,0.5100000000,-0.0325826131,0.0012076968,-0.1878599752,3.1860648018,-0.2173014521,0.3125000000,-1.1214002485,-0.3713910548,0.1145307744
91613954.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.1250000000,0.2500000000,-0.2500000000,-0.2600000000,-0.0100000000,-0.3500000000,47.2228969000,8.8183875000,0.5300000000,-0.0350366699,0.0014518985,0.0171424391,3.3155631351,-0.2171999800,0.1875000000,-4.3714243910,-0.3713910548,0.1145307744
91622619.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.1250000000,0.1875000000,0.3750000000,-0.2600000000,-0.0100000000,-0.3500000000,47.2228969000,8.8183875000,0.5400000000,-0.0369381201,0.0016449756,0.1302259413,3.3189988145,-0.1544557783,-0.4375000000,-6.1022594135,-0.3713910548,0.1145307744
91632488.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.0000000000,0.1875000000,0.3125000000,0.0200000000,-0.1900000000,-0.2000000000,47.2228969000,8.8183875000,0.5200000000,-0.0363977584,0.0001063116,-0.0848128074,3.1966608448,-0.1542627012,-0.3750000000,-2.7518719261,-0.3713910548,0.1145307744
91641691.0000000000,-1.8750000000,0.3120000000,0.0625000000,-0.2500000000,-0.0000000000,-0.1875000000,-0.0200000000,-0.3600000000,-0.2900000000,47.2228969000,8.8183875000,0.5100000000,-0.0362387777,-0.0028631056,-0.1851416630,2.9459043385,0.0316986348,0.1250000000,-1.1485833699,-0.3713910548,0.1145307744
91651788.0000000000,-1.8750000000,0.3120000000,0.0625000000,-0.2500000000,0.0625000000,-0.4375000000,0.2300000000,-0.1900000000,-0.0100000000,47.2228969000,8.8183875000,0.5200000000,-0.0336022931,-0.0043918560,-0.0652082142,2.9456817654,-0.0337707824,0.3750000000,-2.9479178577,-0.3713910548,0.1145307744
91664950.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.3750000000,0.0625000000,0.0625000000,-0.0500000000,-0.3200000000,-0.2100000000,47.2228969000,8.8183875000,0.5100000000,-0.0339503651,-0.0080720200,-0.1339304332,3.5669906870,-0.0352995328,-0.1250000000,-1.6606956682,-0.3713910548,0.1145307744
91673397.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.3750000000,0.0625000000,0.0625000000,-0.0500000000,-0.3200000000,-0.2100000000,47.2228969000,8.8183875000,0.5200000000,-0.0340498943,-0.0103813109,-0.0016815820,3.5674779878,-0.0389796968,-0.1250000000,-3.5831841803,-0.3713910548,0.1145307744
91685160.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.3125000000,-0.0625000000,0.0625000000,0.0600000000,0.0100000000,-0.1700000000,47.2228969000,8.8183875000,0.5300000000,-0.0330397866,-0.0097627724,0.0845776877,3.5051173286,0.0837110123,-0.1250000000,-5.0457768774,-0.3713910548,0.1145307744
91693451.0000000000,-1.8750000000,0.3120000000,0.0625000000,0.3125000000,-0.0625000000,0.0625000000,-0.2600000000,0.1100000000,-0.4500000000,47.2228969000,8.8183875000,0.5300000000,-0.0348640123,-0.0084815381,0.0747909546,3.5037031778,0.0843295507,-0.1250000000,-4.9479095458,-0.3713910548,0.1145307744
91703358.0000000000,-1.8750000000,0.3120000000,0.0625000000,-0.3750000000,-0.5000000000,-0.0625000000,-0.1800000000,0.0300000000,-0.2300000000,47.2228969000,8.8183875000,0.5300000000,-0.0363053194,-0.0077670536,0.0676854521,2.8187570939,0.5231107850,0.0000000000,-4.8768545209,-0.3713910548,0.1145307744
91712428.0000000000,-1.8750000000,0.3745000000,0.0625000000,-0.1250000000,-0.3125000000,-0.0625000000,-0.1800000000,0.0300000000,-0.2300000000,47.2228969000,8.8183875000,0.5400000000,-0.0375809885,-0.0071129121,0.1715125198,3.0707749238,0.2738252695,0.0000000000,-6.5151251982,-0.3713910548,0.1145307744
91724127.0000000000,-1.8750000000,0.3745000000,0.0625000000,-0.3125000000,-0.0625000000,0.0000000000,0.1700000000,-0.1000000000,-0.1300000000,47.2228969000,8.8183875000,0.5200000000,-0.0352651919,-0.0078038792,-0.0150994353,2.8850608605,0.0244794111,-0.0625000000,-3.4490056467,-0.3713910548,0.1145307744
91732896.0000000000,-1.8750000000,0.3745000000,0.0625000000,-0.3125000000,0.1875000000,0.1250000000,0.1700000000,-0.1000000000,-0.1300000000,47.2228969000,8.8183875000,0.4900000000,-0.0334584206,-0.0082970706,-0.3545838690,2.8818187453,-0.2262115560,-0.1875000000,1.7458386897,-0.3713910548,0.1145307744
91746904.0000000000,-1.8750000000,0.3745000000,0.0625000000,0.2500000000,-0.1875000000,-0.0625000000,0.0600000000,-0.0000000000,-0.3100000000,47.2228969000,8.8183875000,0.5200000000,-0.0323264310,-0.0077398170,-0.1054424812,3.4417892655,0.1482952526,0.0000000000,-2.5455751884,-0.3713910548,0.1145307744
91758931.0000000000,-1.8750000000,0.3745000000,0.0625000000,0.3750000000,-0.1250000000,0.1875000000,0.1000000000,0.0300000000,-0.2800000000,47.2228969000,8.8183875000,0.5300000000,-0.0308422605,-0.0068980068,-0.0118396556,3.5652044800,0.0863525062,-0.2500000000,-4.0816034439,-0.3713910548,0.1145307744
91770180.0000000000,-1.8750000000,0.3745000000,0.0625000000,0.0625000000,-0.0625000000,0.0000000000,-0.2700000000,-0.3600000000,-0.1300000000,47.2228969000,8.8183875000,0.5200000000,-0.0335685368,-0.0104573017,-0.0981158711,3.2506266413,0.0246943164,-0.0625000000,-2.6188412892,-0.3713910548,0.1145307744
91778183.0000000000,-1.8750000000,0.3745000000,0.0625000000,0.1250000000,-0.0000000000,-0.1875000000,0.0500000000,0.2300000000,-0.3300000000,47.2228969000,8.8183875000,0.5200000000,-0.0328565104,-0.0082594800,-0.0887227608,3.3169434282,-0.0413649785,0.1250000000,-2.7127723915,-0.3713910548,0.1145307744
91788866.0000000000,-1.8750000000,0.3745000000,0.0625000000,0.2500000000,0.1250000000,-0.0625000000,-0.3500000000,0.0200000000,-0.1900000000,47.2228969000,8.8183875000,0.5200000000,-0.0362560452,-0.0076036568,-0.0790630408,3.4409465912,-0.1641671568,0.0000000000,-2.8093695917,-0.3713910548,0.1145307744
91796869.0000000000,-1.8750000000,0.3745000000,0.0625000000,0.0625000000,0.1875000000,0.1250000000,0.1400000000,-0.1900000000,-0.3300000000,47.2228969000,8.8183875000,0.5300000000,-0.0348040764,-0.0087620189,0.0533779290,3.2582059400,-0.2260113336,-0.1875000000,-4.7337792895,-0.3713910548,0.1145307744
91808738.0000000000,-1.8750000000,0.3745000000,0.0625000000,-0.1875000000,-0.1250000000,0.2500000000,0.6300000000,-0.1900000000,-0.3300000000,47.2228969000,8.8183875000,0.5200000000,-0.0270827161,-0.0105050970,-0.0368335903,3.0061731836,0.0853303042,-0.3125000000,-3.2316640975,-0.3713910548,0.1145307744
91816742.0000000000,-1.8750000000,0.3745000000,0.0625000000,-0.1250000000,0.3125000000,0.5000000000,-0.4600000000,0.5100000000,-0.5300000000,47.2228969000,8.8183875000,0.5100000000,-0.0304767204,-0.0060878270,-0.1599470116,3.0578632792,-0.3539127739,-0.5625000000,-1.4005298838,-0.3713910548,0.1145307744
91829232.0000000000,-1.8750000000,0.3745000000,0.0625000000,-0.1250000000,0.1250000000,-0.0625000000,-0.4800000000,0.3400000000,-0.2500000000,47.2228969000,8.8183875000,0.5200000000,-0.0361381140,-0.0013999283,-0.0636420813,3.0626148853,-0.1619955039,0.0000000000,-2.9635791868,-0.3713910548,0.1145307744
91840916.0000000000,-1.8750000000,0.3745000000,0.0625000000,0.0625000000,-0.3125000000,-0.3750000000,-0.5200000000,0.4300000000,-0.2400000000,47.2228969000,8.8183875000,0.5100000000,-0.0418205740,0.0039835466,-0.1425295532,3.2580408363,0.2801923948,0.3125000000,-1.5747044676,-0.3713910548,0.1145307744
91850588.0000000000,-1.8750000000,0.3120000000,0.0625000000,-0.5000000000,-0.6250000000,-0.3125000000,-0.4300000000,-0.3300000000,-0.0200000000,47.2228969000,8.8183875000,0.5100000000,-0.0455436768,0.0011113433,-0.1260838588,2.7034962802,0.6605758698,0.2500000000,-1.7391614120,-0.3713910548,0.1145307744
91864380.0000000000,-1.8750000000,0.3120000000,0.0625000000,-0.1875000000,-0.0625000000,0.5000000000,-0.7800000000,-0.2800000000,0.0400000000,47.2228969000,8.8183875000,0.5200000000,-0.0557725576,-0.0022559430,-0.0370981201,3.0212086242,0.0952036665,-0.5625000000,-3.2290187986,-0.3713910548,0.1145307744
91878034.0000000000,-1.8750000000,0.3120000000,0.0625000000,-0.8125000000,0.1250000000,0.0625000000,-1.0400000000,0.2600000000,-0.1900000000,47.2228969000,8.8183875000,0.5200000000,-0.0693067841,0.0017434532,-0.0323818718,2.4105290574,-0.0956636198,-0.1250000000,-3.2761812822,-0.3713910548,0.1145307744
91886036.0000000000,-1.8750000000,0.3120000000,0.0625000000,-0.3750000000,0.1875000000,-0.0625000000,-0.7800000000,0.5000000000,-0.0400000000,47.2228969000,8.8183875000,0.5500000000,-0.0748126656,0.0059579404,0.3474326862,2.8669769744,-0.1541642236,0.0000000000,-8.8743268625,-0.3713910548,0.1145307744
